id,title,intersection,severity,collision_type,vehicle_hitting,vehicle_hitted,multiple_vehicle,location,state,date,time,killed,injured,reference,pedestrian_involved,confidence,model
3de8e370eeb9ee04188aa92306d483ea,"Woman killed, family injured as landslide hits Uttarakhand's Badrinath highway",Highway,Fatal,NA,NA,car,No,"Badrinath national highway, near Patalgang, Chamoli district, Uttarakhand",Uttarakhand,Monday,NA,1,2,ANI,No,High,meta-llama/llama-4-scout-17b-16e-instruct
35a78f0f2b522842041ab7ab714e12df,"One killed, 5 injured as SUV hits tempo in Himachal's Una",NA,Fatal,Head On,car,tempo,true,"Barnoh village, Una district",Himachal Pradesh,Sunday,NA,1,5,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
0eee3aee332ad9479e0a40b4d6ec9d9d,Man killed by speeding metro feeder bus in Delhi's Shastri Park,Midblock,Fatal,Hit and run,bus,pedestrian,No,"GT Road near Shastri Park, Delhi",Delhi,NA,NA,1,0,ANI,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
ccaae6e7f6e0671c1e23ea30643d635a,Who is Amanda Kempton? Virginia woman charged in fatal hit-and-run that killed Netflix star Sara Burack,Midblock,Fatal,Hit and run,car,pedestrian,No,"Hampton Bays, New York",New York,Friday,night,NA,NA,Daily Mail,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
bbab6df161b7a40b77dc2a41fbefa854,"9 killed after SUV, truck collide heads-on in Bengal",Highway,Fatal,Head On,truck,car,true,"Namshol village, NH-18, Purulia district",West Bengal,NA,morning,9,NA,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
a2c9dd1d342ebbd242f5510cae1cbdb5,"Patna police woman constable killed, 3 other cops injured as speeding car hits them: Report",Midblock,Fatal,Hit and run,SUV,police personnel,Yes,"Atal Path, Patna",Bihar,NA,night,1,3,Hindustan Times,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
3dad6b85afbda937c42cfaafd1764531,Pune: Woman riding pillion on scooter crushed to death by truck at traffic junction,Signalized,Fatal,Rear end,truck,scooter,true,"Gangadham Chowk, Market Yard area, Pune",Maharashtra,NA,morning,1,1,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
ea8b5347fdb74a3eae0737649a7d2826,"Country musician Conner Smith fatally hit pedestrian with truck. No charges now, but probe ongoing",Signalized,Fatal,Crossing (90degree),truck,pedestrian,No,Nashville,Tennesse,Sunday,evening,1,0,Times of India,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
558b72ad711c7448e378a81fc7a108a3,Narrow escape for Odisha minister after his vehicle collides with truck,NA,Property damage,Head On,car,truck,yes,"Sandhapur Square, Banki Main Road, Cuttack district",Odisha,Jun 6,NA,0,0,PTI,no,high,meta-llama/llama-4-scout-17b-16e-instruct
a6db5b0a9e38dafb3bb79d7642a68713,Two trucks catch fire after collision on expressway near Ahmedabad,Highway,Non - fatal,Rear end,truck,truck,yes,National Expressway 1,Gujarat,Thursday,morning,0,1,ANI,no,high,meta-llama/llama-4-scout-17b-16e-instruct
1feccae58a21f9ef9b16cc77b610d4fc,"Nine killed, two injured as truck overturns on van in Madhya Pradesh's Jhabua",Level crossing,Fatal,Single vehicle collision,truck,van,true,Jhabua,Madhya Pradesh,,night,9,2,Times of India,false,,meta-llama/llama-4-scout-17b-16e-instruct
0e83fad61698ed9d570d78697aafe73e,UP couple returning after distributing son's wedding card dies in road crash,NA,Fatal,NA,NA,motorcycle,true,"Nagina-Dhampur road, Bijnor district, Uttar Pradesh",Uttar Pradesh,Sunday,night,2,0,Times of India,false,,meta-llama/llama-4-scout-17b-16e-instruct
318493ca2a3ce190ffe6a8da0e2a5a86,Man cheats death in bridge accident that looks straight out of a movie: ‘Tom Cruise’s stunt double’,Bridge/Flyover,Non-fatal,Single vehicle collision,van,motorcycle,yes,NA,NA,NA,NA,0,0,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
12c0cdbf6479fc1ce10f1ce421931f4c,Six police personnel injured as vehicle falls into gorge,Midblock,Non - fatal,Single vehicle collision,car,NA,No,"Uroosa, Uri",NA,NA,NA,0,6,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
ce6c0829cbde23886d3e483083781082,Driver killed as taxi falls into Mandi gorge,NA,Fatal,Single vehicle collision,car,NA,No,"Mandi, Himachal Pradesh",Himachal Pradesh,Tuesday,night,1,0,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
4c233a522539ec38657650b4c96664c3,ASI killed in high-speed car collision in Panchkula,Dividing road,Fatal,Crossing (90degree),car,car,true,"Sectors 26 and 27, Panchkula",Haryana,Sunday,night,1,0,HT,false,high,meta-llama/llama-4-scout-17b-16e-instruct
c181bac97c9f69453b3ae39c952e711e,Five dead as car plunges into dry riverbed near Khed,Bridge/Flyover,Fatal,Single vehicle collision,car,NA,false,"near Khed, Ratnagiri district",Maharashtra,Monday,night,5,2,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
c4f11b20caad4c94b0b35484e4b8da02,Three killed after bike collides with parked truck in Kaushambi,Highway,Fatal,Rear end,motorcycle,truck,Yes,"Ajuha Kaini, Kaushambi district",NA,Sunday,morning,3,0,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
8e997270ee1356f8bfd87a1849bdf939,Speeding truck mows down people assisting accident victims in Rajasthan,Midblock,Fatal,Single vehicle collision,truck,"pedestrian, motorcycle",Yes,"Dungarpur district, Rajasthan",Rajasthan,Saturday,night,4,8,Times of India,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
4e223c5014d31a2168b4e054771f71bc,"Caught on cam: Man runs SUV over security guard in Delhi, arrested",Bridge/Flyover,Non - fatal,Hit and run,SUV,pedestrian,NA,Delhi,Delhi,NA,evening,NA,NA,"PTI, ANI",Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
9b4823ea23a9a042f6f1036fad1bdee3,UP: Road death victim found killed for ₹50 lakh insurance in Sambhal; 4 nabbed,NA,Fatal,Hit and run,car,pedestrian,NA,near Sainik Chauraha,UP,"August 1, 2024",night,1,0,Times of India,Yes,,meta-llama/llama-4-scout-17b-16e-instruct
415118f61db3bab6ba98971d5f976e5f,John Elway was drunk before golf cart accident? New party photos spark fresh concerns,NA,Fatal,NA,golf cart,NA,No,"La Quinta, California",California,NA,NA,NA,NA,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
38288224b87ebdb02119d324358d9ed1,"Jeff Sperbeck, John Elway’s longtime agent, dies after tragic golf cart accident",NA,Fatal,Single vehicle collision,golf cart,pedestrian,No,La Quinta,NA,Saturday,NA,NA,NA,"TMZ, ESPN",Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
f8ba2448d432d7e98893dd14d11bab24,Accident near University of Delaware shuts down East Main Street in Newark,Signalized,Non-fatal,NA,car,pedestrian,false,East Main Street,Delaware,Tuesday,evening,0,NA,Times of India,true,low,meta-llama/llama-4-scout-17b-16e-instruct
45c1d3d876a3247dc0a368323e42b263,Kai-Ji Adam Lo: Vancouver car-ramming suspect called police a day prior; details revealed,NA,Fatal,Single vehicle collision,car,pedestrian,No,Vancouver,Britishem Columbia NOT Vancouver; Canada,Saturday,NA,11,NA,Times of India,Yes,,meta-llama/llama-4-scout-17b-16e-instruct
9cd6b52b0540eda6807215a509509a5c,Jagmeet Singh ‘horrified’ after Lapu Lapu car-ramming incident days before Canada election,Midblock,Fatal,Single vehicle collision,car,pedestrian,NA,"E. 41st Avenue and Fraser, Vancouver",British Columbia,NA,evening,NA,NA,"AP, Vancouver Police Department",yes,high,meta-llama/llama-4-scout-17b-16e-instruct
edc48aecfb6a8301e001a0dc023bbb7b,"Private bus hits flyover pillar in Maharashtra's Bhiwandi, 1 killed",Bridge/Flyover,Fatal,Single vehicle collision,bus,divider,No,Mumbai-Nashik highway in Bhiwandi,Maharashtra,NA,NA,1,10,"ANI, Getty Images/iStockphoto",No,High,meta-llama/llama-4-scout-17b-16e-instruct
210a0f3ad1d99953d7a5b95bb9cc21f0,"Pickup van mows down 6 sanitation workers on Delhi-Mumbai Expressway, 5 injured",Highway,Fatal,Hit and run,van,pedestrian,No,Delhi-Mumbai Expressway near Ibrahim Bas village in Firoz Nuh,Haryana,Saturday,morning,6,5,Times of India,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
17b0349c0b0aa3a107f7f1c1d9c8aef8,27-year-old man dies after his car gets crushed between two trucks on Mumbra bypass road,Midblock,Fatal,Rear end,truck,car,yes,"Mumbra Bypass Road, Thane",Maharashtra,"April 22, 2025",morning,1,0,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
01bec35138f5c134915a738a91e78157,"8 dead, 6 injured as SUV plunges off bridge in Madhya Pradesh",Bridge/Flyover,Fatal,Single vehicle collision,SUV,NA,No,"Madhya Pradesh, Damoh district, near Simri village",Madhya Pradesh,NA,morning,8,6,PTI,No,High,meta-llama/llama-4-scout-17b-16e-instruct
d547591f25d988f94e8a2cd91324a7ac,"Punjab: 3-year-old mowed down by speeding SUV in Jalandhar, accused arrested",NA,Fatal,NA,car,pedestrian,NA,Jalandhar,Punjab,Monday,NA,1,0,Times of India,yes,,meta-llama/llama-4-scout-17b-16e-instruct
9ae33e5721ee9b528a624782b601d130,"3 killed, 12 hurt as truck hits multiple vehicles on highway in Pune",Highway,Fatal,Hit and run,truck,"car, NA",Yes,"Lonavla hill station, Maharashtra",Maharashtra,Sunday,night,3,12,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
adf10ba6db1e687b28bb1ecf0080d7c1,Family of four killed after their car rams into stationery truck in UP's Fatehpur,Highway,Fatal,Rear end,car,truck,true,"National Highway-2 near Sujanipur crossing in Khaga, Fatehpur",Uttar Pradesh,Saturday,NA,4,2,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
64d873760b11dae2d434321849fabff2,"Bengaluru civic body truck driver, thrashed after boy’s death, dies in hospital weeks later: Report",Midblock,Fatal,Rear end,truck,motorcycle,No,"Thanisandra Main Road, North Bengaluru",Karnataka,March 29,NA,2,1,Deccan Herald,No,High,meta-llama/llama-4-scout-17b-16e-instruct
fb47b8fb36429bb3d10b787fd6820b95,"All on Joey Broom, John Clark and Jeffrey Little, Major League Fishing boat crash victims",NA,Fatal,NA,Nitro Bass boat,Center Console vessel,Yes,"Smith Lake, Miller Flats area",Alabama,Wednesday,NA,3,1,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
c09a55f1c6589e9e8b3c1abc89480e75,Cab driver dies after mob thrashes him over string of accidents in Ahmedabad,NA,Fatal,NA,car,multiple,yes,"Juhapura, Ahmedabad",Gujarat,Tuesday,night,1,NA,Times of India,no,0.8,meta-llama/llama-4-scout-17b-16e-instruct
7173033257688b69e405ce777ef26a5a,Three injured in multiple vehicle collision in Lucknow,Highway,Non - fatal,Rear end,"car, pickup van","SUV, car",yes,Lucknow-Sit National Highway,NA,Tuesday,NA,0,3,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
0aada15732e2e4e9e2da831d8423fdd6,Pakistan: Truck-coach collision in Khyber Pakhtunkhwa leaves 10 dead and 8 injured,Highway,Fatal,Crossing (90degree),truck,coach,yes,"Meetha Khel, Indus Highway",Khyber Pakhtunkhwa,NA,NA,10,8,ARI News,no,high,meta-llama/llama-4-scout-17b-16e-instruct
c6b4048ae1d50f899a073e333ab300d6,One killed after MSRTC hits bike at Hindmata Bridge,Bridge/Flyover,Fatal,Rear end,bus,motorcycle,yes,"Hindmata Bridge, Dadar East, Mumbai",Maharashtra,"Apr 14, 2025",night,1,1,Hindustan Times,no,high,meta-llama/llama-4-scout-17b-16e-instruct
e467ee1eb1bdf15edb9b23bb53c1972a,Chinese car owner accepts 15 pancakes as compensation after food cart scratches his Range Rover,NA,Property damage,NA,breakfast cart,car,false,northeastern Chinese city of Shenyang China,,,NA,0,0,Times of India,false,,meta-llama/llama-4-scout-17b-16e-instruct
046126d092b8ac194c39bdf50c9045b7,"Bengaluru girl, 9, dies after father’s tractor overturns and falls into lake, sister injured: Report",NA,Fatal,Single vehicle collision,tractor,NA,No,"Pattanadur Agrahara lake, East Bengaluru’s White area, Bengaluru Bengaluru",Karnataka,NA,NA,1,2,Deccan Herald,No,High,meta-llama/llama-4-scout-17b-16e-instruct
fe8a92f91c29b0d314ba31d87888e1e2,Two students killed in bike crash at Paud Phata flyover,Bridge/Flyover,Fatal,Single vehicle collision,motorcycle,NA,false,"Paud Phata flyover, Kothurd",Maharashtra,NA,night,2,0,Times of India,false,,meta-llama/llama-4-scout-17b-16e-instruct
6828447c381fea9aa40012169c53df7d,Panjab University scholar among 3 killed in late-night Mohali crash,Signalized,Fatal,NA,car,NA,Yes,Boothgarh light-point on Siswan road,Punjab,Sunday,night,3,1,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
a177ebe655b0da8803156613fe61c752,Woman dies after being run over by JCB at Thane dumping ground,NA,Fatal,Single vehicle collision,JCB,pedestrian,No,"CP Talav dumping ground, Wagle Estate, Thane",Maharashtra,Sunday,NA,1,0,Times of India,Yes,,meta-llama/llama-4-scout-17b-16e-instruct
00b013684e43b735cc48ba02556c9bbc,Noida police explains why it delayed adding Lamborghini crash driver's name to FIR,Midblock,Non-fatal,Single vehicle collision,car,pedestrian,No,"Sector 94, Noida",Uttar Pradesh,"March 31, 2025",NA,0,2,PTI,Yes,,meta-llama/llama-4-scout-17b-16e-instruct
24d3897416118c52bee70f2ee3f7013f,Was Noida Lamborghini speeding at 300 kmph? What initial investigation found in car crash,Midblock,Non - fatal,Single vehicle collision,car,pedestrian,false,Noida Sector 94,Uttar Pradesh,Sunday,NA,0,2,Times of India,true,,meta-llama/llama-4-scout-17b-16e-instruct
4cc2cd3ce527c841275301a200c5ae7f,"3 Gujarat policemen killed, cop injured in Haryana road accident",NA,Fatal,NA,SUV (Mahindra Bolero),truck,true,"Dabwali-Chautala road, Sirsa district, Haryana",Haryana,NA,morning,3,1,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
610e2acf48e730a8c6f739540656d5f6,Delivery person killed by car driving on on wrong side of the road in LBS Road,NA,Fatal,Hit and run,car,scooter,No,"LBS Road, Mumbai",Maharashtra,Sunday,evening,1,0,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
910c6569643ceea3258dd9f0d2e3a845,Telangana DSP killed as speeding bus runs over him in Rangareddy,NA,Fatal,Hit and run,bus,pedestrian,No,"Laxma Reddy Pallem, Rangareddy district, Telangana",Telangana,NA,morning,1,0,"ANI, PTI",Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
5fb1888b40e9034aae1f6b3b7695834b,Chandigarh: Porsche driver charged with culpable homicide,Midblock,Fatal,Rear end,car,scooter,true,"Sector 4 and 9, Chandigarh",Ch,March 10,night,1,2,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
62cb27fe158dc4976a500806960338a6,Vadodara car crash accused seen drinking from bottle minutes before accident,NA,Fatal,Hit and run,car,multiple two-wheelers,true,Vadodara,NA,Friday,NA,1,4,Times of India,true,,meta-llama/llama-4-scout-17b-16e-instruct
194709b33e4eb5342e90b91d0c1847ec,"10 IIT students injured as vehicle falls into gorge in Sikkim, condition of three serious",NA,Non - fatal,Single vehicle collision,car,NA,False,"Pakshep, Forest Dara, Sikkim",Sikkim,Saturday,night,0,10,Times of India,False,,meta-llama/llama-4-scout-17b-16e-instruct
1cbe146b4ea07fac95a87f983eb332a2,"Jodhpur: Former BJP MLA’s son dies in high-speed car crash, friend hurt",Midblock,Fatal,Single vehicle collision,car,NA,No,"Nahar circle on Pal Road, Jodhpur",Rajasthan,Friday night,night,1,1,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
f313a7c7e3d6f553df904c7663d8f58f,"Vadodara car crash: Accused Rakshit Chaurasia denies drunk driving, claims ‘lost control due to potholes’",Unsignalized,Fatal,Rear end,car,"['scooty', 'car', 'scooters']",true,Vadodara,Gujarat,NA,night,1,4,Times of India,false,NA,meta-llama/llama-4-scout-17b-16e-instruct
271a68b901e062ccc502dc8cc0746f90,"Woman killed, four injured as law student rams car into two-wheelers in Vadodara",Unsignalized,Fatal,Rear end,car,scooter,Yes,Vadodara,Gujarat,NA,night,1,4,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
b2a86bbb7930b96f02ebec2c3b3a58aa,"Three killed, three Injured in head-on collision of bikes in Shahjahanpur",Midblock,Fatal,Head On,motorcycle,motorcycle,true,"Puwanya-Sindhauli road, near Mahanandpur village, Shahjahanpur district",Uttar Pradesh,NA,night,3,3,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
21eeae61e7946748ad0f17a3f305453d,"Three dead, 20 injured in bus-lorry collision in Andhra Pradesh's Eluru",NA,Fatal,Rear end,bus,lorry,yes,near Chodimellu village in Eluru,Andhra Pradesh,NA,morning,3,20,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
6e2df77191374d211b2fe8196ebac62d,3 killed as three lorries crash in Chitradurga,Highway,Fatal,Rear end,"lorry, lorry",lorry,yes,Chitradurga,Karnataka,Wednesday,morning,3,NA,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
e7233f471a3476d3c763e036f61b60db,"Car rams barricade at Singhu border, 1 dead",Highway,Fatal,Single vehicle collision,car,cement jersey barricade,false,Singhu border,Haryana,Sunday,NA,1,3,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
e5a44c07255f0c0196b1cd6b48d3b938,"MP: Six people from Karnataka, returning from Mahakumbh, killed in road accident",Midblock,Fatal,Single vehicle collision,car,"bus, divider, tree",true,"Jabalpur district, Madhya Pradesh",Madhya Pradesh,NA,morning,6,2,Times of India,false,,meta-llama/llama-4-scout-17b-16e-instruct
7945cdd7e010e7885d04aabc246ccf87,Kharar man killed in truck-scooter collision in Mohali,NA,Fatal,Rear end,truck,scooter,yes,"Balongi, Mohali",Punjab,Friday,NA,1,0,Times of India,no,high,meta-llama/llama-4-scout-17b-16e-instruct
fb5ec0b3f52118c846dc6d1ca13b348d,18-month-old child killed by speeding car being driven by 15-year-old in Delhi,NA,Fatal,Single vehicle collision,car,pedestrian,Yes,Mukhmelpur village in Alipur,Delhi,Saturday,morning,1,0,Times of India,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
afa61460db127793855fc974d3803eeb,4 Bengal residents killed in Dhanbad car crash en route to Maha Kumbh in Prayagraj,NA,Fatal,Rear end,car,truck,Yes,"National Highway 2, Rajganj police station area, Dhanbad district",Jharkhand,NA,night,4,4,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
7dda2077fa073c34f335b16cab34af13,Maharashtra: 3 injured after SUV rams into victims in Thane housing complex,NA,Non - fatal,Hit and run,SUV,pedestrian,No,"Kashimira area, Thane",Maharashtra,Tuesday,morning,0,3,PTI,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
3217eb070f7798b22be210cacb4f7dbc,"Rajasthan: 5 dead, 3 injured in road accident while returning from Maha Kumbh Mela",Midblock,Fatal,Rear end,car,truck,true,"Dausa bypass, Dausa district",Rajasthan,Tuesday,NA,5,3,Times of India,false,high,meta-llama/llama-4-scout-17b-16e-instruct
3780802e00bcb45ae089fc777f79ef61,UP: 4 members of family killed in Etah district road accident,NA,Fatal,Single vehicle collision,car,NA,false,"Etah district, near Jarera village",UP,NA,night,4,5,Hindustan Times,false,,meta-llama/llama-4-scout-17b-16e-instruct
a87075084c604aa38233cc5b1c011b4a,"3 women labourers, toddler killed as dumper truck falls on them in Gujarat's Banaskantha",NA,Fatal,NA,dumper truck,pedestrian,No,"Khengarpura village, Banaskantha district",Gujarat,Saturday,evening,4,NA,PTI,Yes,High,meta-llama/llama-4-scout-17b-16e-instruct
f95beed5f22a63d4a55d972bd3e18a3c,Indian-origin executive gets 25-year-jail term for drunk driving crash in New York that killed 2 teens,NA,Fatal,Head On,truck,car,Yes,Long Island,New York,"May 3, 2023",night,2,2,Hindustan Times,No,High,meta-llama/llama-4-scout-17b-16e-instruct
f58ae82cdba66fd44f51fafa48ae8dfc,Biker crushed to death as truck topples over on Gurugram road,Midblock,Fatal,Single vehicle collision,truck,motorcycle,No,"Sohna-Tauru Road, near P. Had Colony, Sohna Valley, Gurugram",Haryana,Thursday,NA,1,0,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
a93befc7461fcf85d7f3fea596253e31,Six killed in two separate truck accidents in Madhya Pradesh,Highway,Fatal,Head On,truck,truck,yes,Madhya Pradesh,Madhya Pradesh,Thursday,morning,6,2,NA,no,high,meta-llama/llama-4-scout-17b-16e-instruct
b83473bc35286de841db39de1ba336af,"Chhattisgarh: 3 teens skip school for tractor joyride, killed in accident",NA,Fatal,Single vehicle collision,tractor,NA,No,"near Charra village, Chhattisgarh",Chhattisgarh,Wednesday,NA,3,1,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
2428f8c40132c01c684a561e88591382,"Tesla tragedy: Woman killed as car flips, goes up in flames in Manhattan",Midblock,Fatal,Single vehicle collision,car,NA,false,"FDR Drive in Manhattan, NYC",New York,NA,night,1,1,New York Post,false,,meta-llama/llama-4-scout-17b-16e-instruct
1e87eb0e189e5b46acbb0a595667617c,Navi Mumbai: 45-year-old man killed by 2 riders in road rage,NA,Fatal,NA,scooter,two-wheeler,false,"Kharghar, Navi Mumbai Mumbai",Maharashtra,Sunday,night,1,0,Hindustan Times,false,,meta-llama/llama-4-scout-17b-16e-instruct
f6e65f8d2bd27264de4b15fc75db0690,Maha Kumbh: 10 injured after van carrying devotees overturns in UP's Barabanki,NA,Non - fatal,Single vehicle collision,van,NA,false,"Safdarganj area, Barabanki, near Maulabad village",Uttar Pradesh,NA,evening,0,10,Hindustan Times,false,high,meta-llama/llama-4-scout-17b-16e-instruct
5c19991b36561396ae2d6eb13864afb1,"1 dead, 11 missing as cruiser plunges into Bhakra canal in Haryana's Fatehabad",NA,Fatal,Single vehicle collision,Force Motors Cruiser,NA,No,"Sardarewala village, Fatehabad district, Haryana",Haryana,Friday,night,1,NA,Hindustan Times,No,High,meta-llama/llama-4-scout-17b-16e-instruct
14da1f8bd4c943de4fc50ef63af087a6,12 die as pick-up van collides with truck in Punjab’s Ferozepur,NA,Fatal,Head On,pick-up van,Canter truck,Yes,"Ferozepur-Fazilka road, near Ke Uttar village",Punjab,Friday,morning,12,14,Times of India,No,High,meta-llama/llama-4-scout-17b-16e-instruct
6f6aea60fa0d5b280fe87d5114265834,"Republic Day function turns tragic in Odisha as pick-up van overturns killing a student, 20 others injured in mishap",NA,Fatal,Single vehicle collision,van,NA,No,"near Anshupa Lake, Cuttack district",Odisha,Sunday (no specific date mentioned),NA,1,20,Times of India,No,,meta-llama/llama-4-scout-17b-16e-instruct
